Sum of Ball Possession,Column Labels,,
Row Labels,Swansea CitySWA,Tottenham HotspurTOT,Grand Total
0,0.38,0.62,1
1,0.37,0.63,1
2,0.37,0.63,1
3,0.41,0.59,1
4,0.41,0.59,1
5,0.4,0.6,1
6,0.41,0.59,1
7,0.46,0.54,1
8,0.45,0.55,1
9,0.45,0.55,1
10,0.45,0.55,1
11,0.44,0.56,1
12,0.44,0.56,1
13,0.43,0.57,1
14,0.4,0.6,1
15,0.4,0.6,1
16,0.4,0.6,1
17,0.39,0.61,1
18,0.38,0.62,1
19,0.37,0.63,1
20,0.37,0.63,1
21,0.36,0.64,1
22,0.37,0.63,1
23,0.37,0.63,1
24,0.36,0.64,1
25,0.36,0.64,1
26,0.36,0.64,1
27,0.35,0.65,1
28,0.34,0.66,1
29,0.36,0.64,1
30,0.35,0.65,1
31,0.36,0.64,1
32,0.36,0.64,1
33,0.35,0.65,1
34,0.35,0.65,1
35,0.35,0.65,1
36,0.35,0.65,1
37,0.35,0.65,1
38,0.36,0.64,1
39,0.36,0.64,1
40,0.36,0.64,1
41,0.36,0.64,1
42,0.36,0.64,1
43,0.36,0.64,1
44,0.36,0.64,1
45,0.36,0.64,1
46,0.36,0.64,1
47,0.36,0.64,1
48,0.36,0.64,1
49,0.36,0.64,1
50,0.36,0.64,1
51,0.36,0.64,1
52,0.36,0.64,1
53,0.36,0.64,1
54,0.36,0.64,1
55,0.35,0.65,1
56,0.35,0.65,1
57,0.35,0.65,1
58,0.35,0.65,1
59,0.34,0.66,1
60,0.34,0.66,1
61,0.34,0.66,1
62,0.34,0.66,1
63,0.34,0.66,1
64,0.34,0.66,1
65,0.33,0.67,1
66,0.34,0.66,1
67,0.34,0.66,1
68,0.34,0.66,1
69,0.33,0.67,1
70,0.33,0.67,1
71,0.33,0.67,1
72,0.33,0.67,1
73,0.33,0.67,1
74,0.33,0.67,1
75,0.32,0.68,1
76,0.32,0.68,1
77,0.32,0.68,1
78,0.32,0.68,1
79,0.32,0.68,1
80,0.32,0.68,1
81,0.31,0.69,1
82,0.32,0.68,1
83,0.32,0.68,1
84,0.31,0.69,1
85,0.31,0.69,1
86,0.31,0.69,1
87,0.31,0.69,1
88,0.31,0.69,1
89,0.31,0.69,1
90,0.31,0.69,1
91,0.31,0.69,1
92,0.31,0.69,1
93,0.31,0.69,1
94,0.31,0.69,1
95,0.31,0.69,1
96,0.31,0.69,1
97,0.31,0.69,1
98,0.31,0.69,1
99,0.32,0.68,1
100,0.32,0.68,1
101,0.32,0.68,1
102,0.32,0.68,1
103,0.32,0.68,1
104,0.32,0.68,1
105,0.32,0.68,1
106,0.32,0.68,1
107,0.29,0.71,1
108,0.29,0.71,1
109,0.29,0.71,1
110,0.29,0.71,1
111,0.29,0.71,1
112,0.29,0.71,1
113,0.29,0.71,1
114,0.29,0.71,1
115,0.29,0.71,1
116,0.29,0.71,1
117,0.29,0.71,1
118,0.29,0.71,1
119,0.29,0.71,1
120,0.32,0.68,1
121,0.32,0.68,1
122,0.32,0.68,1
123,0.32,0.68,1
124,0.32,0.68,1
125,0.32,0.68,1
126,0.32,0.68,1
127,0.32,0.68,1
128,0.32,0.68,1
129,0.32,0.68,1
130,0.32,0.68,1
131,0.32,0.68,1
132,0.32,0.68,1
133,0.32,0.68,1
134,0.32,0.68,1
Grand Total,46.17,88.83,135
