"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","WatfordWAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",0
"X3","Manchester CityMCI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",0
"X11","WatfordWAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",1
"X31","Manchester CityMCI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100%",1
"X12","WatfordWAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",2
"X32","Manchester CityMCI","0","0","1","0","0","0","0","0","0","5","0","0","0","0","100%",2
"X13","WatfordWAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",3
"X33","Manchester CityMCI","0","0","1","0","0","0","0","1","0","7","0","0","0","0","100%",3
"X14","WatfordWAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%",4
"X34","Manchester CityMCI","0","0","1","0","0","0","0","1","0","7","0","0","0","0","100%",4
"X15","WatfordWAT","0","0","0","0","0","0","0","0","0","4","0","1","0","0","12%",5
"X35","Manchester CityMCI","0","0","1","0","0","0","0","2","1","10","0","0","0","0","88%",5
"X16","WatfordWAT","0","0","0","0","0","0","0","0","0","7","0","1","0","0","34%",6
"X36","Manchester CityMCI","0","0","1","0","0","0","0","2","1","11","0","1","0","0","66%",6
"X17","WatfordWAT","0","0","0","0","0","0","0","0","0","10","0","1","0","0","27%",7
"X37","Manchester CityMCI","0","0","2","0","0","0","0","3","2","24","0","1","0","0","73%",7
"X18","WatfordWAT","0","0","0","0","0","0","0","0","0","10","0","1","0","0","22%",8
"X38","Manchester CityMCI","0","0","2","0","0","0","0","4","2","29","0","1","0","0","78%",8
"X19","WatfordWAT","0","0","0","0","0","0","0","0","0","10","0","1","0","0","24%",9
"X39","Manchester CityMCI","0","0","3","0","0","0","0","4","2","38","0","1","0","0","76%",9
"X110","WatfordWAT","0","0","0","0","0","0","0","0","0","12","0","1","0","0","24%",10
"X310","Manchester CityMCI","0","0","3","0","0","0","0","4","2","44","0","1","0","0","76%",10
